pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,840.69
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,846.4
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,856.02
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,859.69
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,852.49
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,844.83
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,841.78
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,841.96
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,847.67
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,857.31
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,860.99
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,853.78
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,846.1
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,843.04
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,843.23
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,848.95
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,858.6
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,862.34
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,855.76
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,849.23
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,844.32
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,845.94
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,851.63
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,862.83
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,863.68
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,860.26
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,850.96
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,847.03
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,847.23
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,852.92
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,864.7
