variant,cutoff,MAE,RMSE,MAPE%,R2,bias
shipped model,2025-07-01,36.8307,137.5078,1.5912,0.9896,1.0022
shipped model,2025-08-01,48.4266,178.9342,1.9729,0.9828,0.9945
shipped model,2025-09-01,45.809,190.2933,1.8341,0.9812,0.9937
no residual label screen,2025-07-01,47.6865,146.0256,2.0503,0.9883,1.0039
no residual label screen,2025-08-01,55.0961,183.1945,2.2979,0.982,0.9958
no residual label screen,2025-09-01,50.8247,192.9706,2.0925,0.9807,0.9946
no label screening at all,2025-07-01,63.6908,159.2071,2.8415,0.9861,1.003
no label screening at all,2025-08-01,72.7469,196.5191,3.0951,0.9793,0.9961
no label screening at all,2025-09-01,68.9718,205.0994,2.9046,0.9781,0.995
date as a plain feature,2025-07-01,108.6134,189.6245,4.5701,0.9803,1.0444
date as a plain feature,2025-08-01,51.9669,181.3387,2.1499,0.9824,0.987
date as a plain feature,2025-09-01,60.6031,197.6604,2.44,0.9797,0.9803
no time information,2025-07-01,53.4098,147.6767,2.2818,0.9881,0.9849
no time information,2025-08-01,100.2628,213.6353,4.1315,0.9755,0.9608
no time information,2025-09-01,112.3883,228.7716,4.6003,0.9728,0.9558
